Ticker,Date,Trade Type,Action,Shares,Price,Profit,Balance
V,30.09.2022 13:30,Long,Open,5.0,179.19000244140625,0,124.57000732421864
V,30.11.2022 14:30,Long,Close,5.0,215.58999633789065,181.99996948242202,1202.5199890136719
V,05.12.2022 10:30,Long,Open,5.0,215.4850006103516,0,125.09498596191384
V,27.01.2023 09:30,Long,Close,5.0,230.26499938964844,73.89999389648423,1276.419982910156
V,27.01.2023 10:30,Short,Open,5.0,229.9152069091797,0,2425.9960174560547
V,31.01.2023 12:30,Short,Close,5.0,229.5,2.0760345458984375,1278.4960174560547
V,31.01.2023 13:30,Long,Open,5.0,229.42999267578125,0,131.34605407714844
V,23.02.2023 14:30,Long,Close,5.0,222.06500244140625,-36.824951171875,1241.6710662841797
V,15.03.2023 09:30,Long,Open,5.0,215.52999877929688,0,164.0210723876953
V,15.05.2023 14:30,Long,Close,5.0,232.5,84.85000610351562,1326.5210723876953
V,15.05.2023 15:30,Short,Open,5.0,232.8300018310547,0,2490.6710815429688
V,19.05.2023 13:30,Short,Close,5.0,232.3999938964844,2.1500396728514204,1328.6711120605466
V,22.05.2023 11:30,Long,Open,5.0,232.37120056152344,0,166.81510925292946
V,12.06.2023 14:30,Long,Close,5.0,226.02999877929688,-31.706008911132812,1296.9651031494138
V,12.06.2023 15:30,Short,Open,5.0,226.1699981689453,0,2427.8150939941406
V,20.06.2023 14:30,Short,Close,5.0,226.58999633789065,-2.0999908447267046,1294.8651123046873
V,20.06.2023 15:30,Long,Open,5.0,226.50999450683597,0,162.31513977050736
V,31.07.2023 09:30,Long,Close,5.0,237.63499450683597,55.625,1350.4901123046873
V,02.08.2023 10:30,Long,Open,5.0,237.2100067138672,0,164.44007873535134
V,21.08.2023 14:30,Long,Close,5.0,240.0500030517578,14.199981689453125,1364.6900939941404
V,24.08.2023 11:30,Long,Open,5.0,240.83999633789065,0,160.49011230468705
V,08.09.2023 09:30,Long,Close,5.0,247.69500732421875,34.27505493164048,1398.9651489257808
V,19.09.2023 09:30,Long,Open,5.0,242.4199981689453,0,186.86515808105423
V,19.12.2023 10:30,Long,Close,5.0,259.94000244140625,87.60002136230469,1486.5651702880855
V,20.12.2023 14:30,Long,Open,5.0,258.1300048828125,0,195.91514587402298
V,28.12.2023 10:30,Long,Close,5.0,259.9049987792969,8.874969482421875,1495.4401397705074
V,28.12.2023 11:30,Short,Open,5.0,260.2650146484375,0,2796.765213012695
V,05.01.2024 14:30,Short,Close,5.0,259.07000732421875,5.97503662109375,1501.415176391601
V,11.01.2024 10:30,Long,Open,5.0,262.7900085449219,0,187.46513366699173
V,13.02.2024 09:30,Long,Close,5.0,277.30499267578125,72.57492065429688,1573.990097045898
V,16.02.2024 15:30,Long,Open,5.0,278.510009765625,0,181.44004821777298
V,06.05.2024 09:30,Long,Close,5.0,270.8450012207031,-38.325042724609375,1535.6650543212886
V,06.05.2024 10:30,Short,Open,5.0,270.6600036621094,0,2888.9650726318355
V,17.05.2024 11:30,Short,Close,5.0,279.9100036621094,-46.25,1489.4150543212886
V,17.05.2024 12:30,Long,Open,5.0,280.04998779296875,0,89.16511535644486
V,18.06.2024 09:30,Long,Close,5.0,272.30499267578125,-38.7249755859375,1450.690078735351
V,18.06.2024 10:30,Short,Open,5.0,272.7300109863281,0,2814.3401336669917
V,24.06.2024 15:30,Short,Close,5.0,276.2099914550781,-17.39990234375,1433.290176391601
V,25.06.2024 09:30,Long,Open,5.0,276.19500732421875,0,52.31513977050736
V,02.07.2024 15:30,Long,Close,5.0,268.1700134277344,-40.124969482421875,1393.1652069091792
JNJ,11.07.2022 14:30,Long,Open,5.0,177.86000061035156,0,110.69999694824219
JNJ,25.07.2022 10:30,Long,Close,5.0,172.75,-25.550003051757812,974.4499969482422
JNJ,26.07.2022 09:30,Short,Open,5.0,173.52999877929688,0,1842.0999908447266
JNJ,29.07.2022 09:30,Short,Close,5.0,173.6300048828125,-0.500030517578125,973.9499664306641
JNJ,29.07.2022 10:30,Long,Open,5.0,173.4586944580078,0,106.656494140625
JNJ,16.08.2022 12:30,Long,Close,5.0,167.8800048828125,-27.893447875976562,946.0565185546875
JNJ,18.08.2022 09:30,Long,Open,5.0,166.88999938964844,0,111.60652160644531
JNJ,25.08.2022 15:30,Long,Close,5.0,167.19000244140625,1.5000152587890625,947.5565338134766
JNJ,02.09.2022 12:30,Long,Open,5.0,163.57310485839844,0,129.69100952148438
JNJ,08.09.2022 15:30,Long,Close,5.0,165.3300018310547,8.78448486328125,956.3410186767578
JNJ,14.09.2022 09:30,Long,Open,5.0,164.50999450683594,0,133.79104614257812
JNJ,21.10.2022 09:30,Long,Close,5.0,167.15499877929688,13.225021362304688,969.5660400390625
JNJ,01.11.2022 09:30,Long,Open,5.0,172.88999938964844,0,105.11604309082031
JNJ,07.11.2022 09:30,Long,Close,5.0,173.08999633789062,0.9999847412109375,970.5660247802734
JNJ,09.11.2022 14:30,Long,Open,5.0,173.65499877929688,0,102.29103088378906
JNJ,12.12.2022 15:30,Long,Close,5.0,177.82000732421875,20.825042724609375,991.3910675048828
JNJ,22.12.2022 11:30,Long,Open,5.0,176.2100067138672,0,110.34103393554688
JNJ,20.04.2023 15:30,Long,Close,5.0,163.64999389648438,-62.80006408691406,928.5910034179688
JNJ,28.04.2023 15:30,Short,Open,5.0,163.75,0,1747.3410034179688
JNJ,03.05.2023 13:30,Short,Close,5.0,163.61000061035156,0.6999969482421875,929.2910003662109
JNJ,31.05.2023 14:30,Short,Open,5.0,155.27499389648438,0,1705.6659698486328
JNJ,12.06.2023 10:30,Short,Close,5.0,159.4199981689453,-20.725021362304688,908.5659790039062
JNJ,12.06.2023 12:30,Long,Open,5.0,159.0800018310547,0,113.16596984863281
JNJ,14.07.2023 09:30,Long,Close,5.0,159.47000122070312,1.9499969482421875,910.5159759521484
JNJ,14.07.2023 10:30,Short,Open,5.0,159.25,0,1706.7659759521484
JNJ,17.07.2023 12:30,Short,Close,5.0,158.92999267578125,1.60003662109375,912.1160125732422
JNJ,17.07.2023 15:30,Long,Open,5.0,159.0500030517578,0,116.86599731445312
JNJ,16.10.2023 10:30,Long,Close,5.0,157.77999877929688,-6.3500213623046875,905.7659912109375
JNJ,16.10.2023 11:30,Short,Open,5.0,157.9949951171875,0,1695.740966796875
JNJ,07.11.2023 11:30,Short,Close,5.0,151.2899932861328,33.52500915527344,939.2910003662109
JNJ,07.11.2023 12:30,Long,Open,6.0,151.33999633789062,0,31.251022338867188
JNJ,19.01.2024 12:30,Long,Close,6.0,161.47000122070312,60.780029296875,1000.0710296630859
JNJ,19.01.2024 14:30,Short,Open,6.0,161.77000427246094,0,1970.6910552978516
JNJ,13.02.2024 09:30,Short,Close,6.0,156.74000549316406,30.17999267578125,1030.2510223388672
JNJ,13.02.2024 10:30,Long,Open,6.0,156.4600067138672,0,91.49098205566406
JNJ,18.04.2024 15:30,Long,Close,6.0,145.72000122070312,-64.44003295898438,965.8109893798828
JNJ,19.04.2024 09:30,Short,Open,6.0,146.69000244140625,0,1845.9510040283203
JNJ,24.04.2024 09:30,Short,Close,6.0,147.74000549316406,-6.300018310546875,959.5109710693359
JNJ,09.05.2024 09:30,Short,Open,6.0,150.05499267578125,0,1859.8409271240234
JNJ,23.05.2024 09:30,Short,Close,6.0,151.9199981689453,-11.190032958984375,948.3209381103516
JNJ,04.06.2024 10:30,Long,Open,6.0,146.72999572753906,0,67.94096374511719
JNJ,07.06.2024 09:30,Long,Close,6.0,147.83999633789062,6.660003662109375,954.9809417724609
JNJ,07.06.2024 10:30,Short,Open,6.0,147.94000244140625,0,1842.6209564208984
JNJ,25.06.2024 10:30,Short,Close,6.0,148.10000610351562,-0.96002197265625,954.0209197998047
JNJ,25.06.2024 11:30,Long,Open,6.0,147.6999969482422,0,67.82093811035156
JNJ,02.07.2024 15:30,Long,Close,6.0,146.05999755859375,-9.839996337890625,944.1809234619141
WMT,12.07.2022 14:30,Long,Open,23.0,41.72666549682617,0,40.28669357299805
WMT,28.09.2022 11:30,Long,Close,23.0,44.18666458129883,56.579978942871094,1056.579978942871
WMT,30.09.2022 09:30,Long,Open,24.0,43.61666870117188,0,9.779930114745866
WMT,15.03.2023 12:30,Long,Close,24.0,46.2833366394043,64.00003051757795,1120.580009460449
WMT,16.03.2023 15:30,Long,Open,24.0,46.09666442871094,0,14.260063171386491
WMT,18.04.2023 09:30,Long,Close,24.0,49.97666549682617,93.12002563476562,1213.7000350952146
WMT,25.04.2023 12:30,Long,Open,23.0,50.61166763305664,0,49.63167953491188
WMT,05.05.2023 10:30,Long,Close,23.0,50.63999938964844,0.6516304016113281,1214.351665496826
WMT,10.05.2023 11:30,Long,Open,24.0,50.57843399047852,0,0.4692497253413421
WMT,31.05.2023 10:30,Long,Close,24.0,48.97833251953125,-38.402435302734546,1175.9492301940913
WMT,01.06.2023 12:30,Short,Open,23.0,49.24333190917969,0,2308.545864105224
WMT,06.06.2023 12:30,Short,Close,23.0,49.61333084106445,-8.50997543334961,1167.4392547607417
WMT,06.06.2023 13:30,Long,Open,23.0,49.7166633605957,0,23.95599746704056
WMT,18.07.2023 09:30,Long,Close,23.0,51.73333358764648,46.383415222167805,1213.8226699829095
WMT,18.07.2023 10:30,Short,Open,23.0,51.83333206176758,0,2405.9893074035635
WMT,25.07.2023 13:30,Short,Close,23.0,52.82833480834961,-22.88506317138672,1190.9376068115225
WMT,27.07.2023 14:30,Long,Open,22.0,53.08000183105469,0,23.177566528319403
WMT,24.08.2023 09:30,Long,Close,22.0,52.923336029052734,-3.4466476440429688,1187.4909591674796
WMT,01.09.2023 10:30,Long,Open,22.0,53.74333190917969,0,5.137657165526434
WMT,04.10.2023 11:30,Long,Close,22.0,53.52000045776367,-4.913291931152344,1182.5776672363272
WMT,04.10.2023 12:30,Short,Open,22.0,53.55430221557617,0,2360.772315979003
WMT,17.10.2023 13:30,Short,Close,22.0,53.50666809082031,1.0479507446289062,1183.6256179809561
WMT,19.10.2023 09:30,Long,Open,22.0,53.494998931884766,0,6.735641479491278
WMT,20.03.2024 09:30,Long,Close,22.0,61.130001068115234,167.9700469970703,1351.5956649780264
WMT,21.03.2024 09:30,Short,Open,22.0,61.41999816894531,0,2702.8356246948233
WMT,22.03.2024 11:30,Short,Close,22.0,61.20000076293945,4.839942932128906,1356.4356079101553
